Transaction Arrival Rate,Block Size,Orderer,pre_Latency,pre_Throughput
10,635,9,0.557183427,18.24578147
10,640,3,0.526503515,13.26821494
10,640,5,0.538527107,13.31176657
10,640,7,0.539331865,15.09859061
10,640,9,0.614719761,13.23886618
10,645,3,0.575721145,17.96456504
10,645,5,0.547332621,17.33763709
10,645,7,0.542536265,15.57542929
10,645,9,0.598171628,17.21352286
10,650,3,0.581054843,18.36990409
10,650,5,0.523991942,15.13331961
10,650,7,0.534419358,21.93176016
10,650,9,0.54068259,13.30030112
10,655,3,0.564142811,15.42800498
10,655,5,0.5825472,13.34137473
10,655,7,0.562838781,18.11748404
10,655,9,0.550430811,12.99595694
10,660,3,0.543704403,13.6988851
10,660,5,0.593292463,17.19495444
10,660,7,0.53167882,18.15248389
10,660,9,0.571323609,13.4040914
10,665,3,0.587697901,16.53019528
10,665,5,0.530951668,17.73463025
10,665,7,0.533692361,12.7640698
10,665,9,0.531549217,12.04771695
10,670,3,0.576488796,12.48874887
10,670,5,0.531799343,16.12527994
10,670,7,0.581353548,13.01550363
10,670,9,0.528685835,12.82600778
10,675,3,0.552356185,17.29854282
10,675,5,0.53440925,13.23744205
10,675,7,0.565203394,12.19676822
10,675,9,0.58484868,17.18547519
10,680,3,0.577773215,14.25769351
10,680,5,0.550275595,21.7494202
10,680,7,0.550769462,12.28385165
10,680,9,0.517629351,12.48161166
10,685,3,0.588120152,14.82153171
10,685,5,0.534525622,12.53686374
10,685,7,0.545839621,13.52011569
10,685,9,0.525584735,14.85028995
10,690,3,0.519723214,12.89876865
10,690,5,0.532754685,13.64286044
10,690,7,0.576236083,17.48839572
10,690,9,0.588793017,18.06707919
10,695,3,0.546361776,13.05422824
10,695,5,0.573888864,13.19284518
10,695,7,0.540219559,15.04432224
10,695,9,0.572074689,13.78864597
10,700,3,0.542536236,12.91127628
10,700,5,0.589754154,17.64415286
10,700,7,0.550003256,12.52244418
10,700,9,0.523915984,12.4013306
10,705,3,0.558265914,17.21383975
10,705,5,0.561683406,13.56460422
10,705,7,0.580107452,17.35281146
10,705,9,0.553130223,17.96826175
10,710,3,0.549453945,13.71641544
10,710,5,0.521597697,16.49828952
10,710,7,0.580052449,14.42719272
10,710,9,0.571394576,12.4453873
10,715,3,0.550457533,12.68837436
10,715,5,0.526751436,12.90195773
10,715,7,0.576337267,12.6648804
10,715,9,0.548615993,12.48262027
10,720,3,0.52333522,13.18246005
10,720,5,0.527254869,13.85025638
10,720,7,0.584254838,21.03755115
10,720,9,0.589301063,13.74346927
10,725,3,0.556873681,13.46508945
10,725,5,0.572233654,13.80413364
10,725,7,0.55740241,13.96390842
10,725,9,0.545142378,17.48620761
10,730,3,0.547384109,16.78954623
10,730,5,0.543064691,13.17927249
10,730,7,0.579416002,13.89075931
10,730,9,0.548310257,14.01177219
10,735,3,0.526301838,13.28246005
10,735,5,0.55871842,12.87661288
10,735,7,0.541507699,17.98049472
10,735,9,0.573163952,17.56541904
10,740,3,0.540387775,17.42880862
10,740,5,0.547622813,12.23493655
10,740,7,0.544605197,12.85346378
10,740,9,0.529227199,14.54813388
10,745,3,0.57387289,13.31764072
10,745,5,0.579987539,17.02127078
10,745,7,0.518248834,13.16574863
10,745,9,0.54828123,13.52855838
10,750,3,0.542175402,13.60717014
10,750,5,0.573056759,16.8527283
10,750,7,0.519023503,18.83610614
10,750,9,0.57076285,14.63555454
10,755,3,0.552944471,12.8828873
10,755,5,0.608103348,13.24856723
10,755,7,0.592225887,13.54505771
10,755,9,0.544574274,12.83010562
10,760,3,0.548764582,12.81296848
10,760,5,0.530167569,16.76728671
10,760,7,0.608256687,15.07987064
10,760,9,0.573289777,17.79000247
10,765,3,0.594995429,17.56636966
10,765,5,0.540771849,13.24023593
10,765,7,0.559793402,19.3076279
10,765,9,0.565340282,13.27589267
10,770,3,0.543812455,21.33595737
10,770,5,0.560524751,17.1919762
10,770,7,0.533820583,13.14674381
10,770,9,0.513253392,17.40323795
10,775,3,0.539477922,13.68241275
10,775,5,0.562368764,13.61482394
10,775,7,0.581537332,22.27532886
10,775,9,0.610663463,13.79959872
10,780,3,0.557341684,13.66585391
10,780,5,0.542009665,13.11078037
10,780,7,0.548310138,13.28557742
10,780,9,0.555279316,16.86520236
10,785,3,0.541394938,13.98368533
10,785,5,0.521916307,17.26800998
10,785,7,0.577169396,13.09594577
10,785,9,0.572259499,12.64003299
10,790,3,0.517906417,13.74749454
10,790,5,0.552172531,14.09906009
10,790,7,0.536062635,13.25132755
10,790,9,0.559947582,12.33400272
10,795,3,0.546013643,13.54397586
10,795,5,0.540102686,12.68667606
10,795,7,0.540451647,13.02228702
10,795,9,0.611413719,17.4221123
10,800,3,0.612849523,14.1939957
10,800,5,0.569645156,16.92266238
10,800,7,0.583384408,13.80349582
10,800,9,0.567168476,12.72025302
15,10,3,0.906103996,16.52267901
15,10,5,0.907291487,16.30049121
15,10,7,0.907365564,12.0399718
15,10,9,0.888058094,12.29029528
15,15,3,0.905891088,12.73633715
15,15,5,0.908582596,17.64596469
15,15,7,0.875804368,21.62230059
15,15,9,0.906823877,12.58953082
15,20,3,0.904780487,16.54549701
15,20,5,0.904322389,20.84443347
15,20,7,0.90792363,20.77306964
15,20,9,0.885501889,12.48241717
15,25,3,0.907858614,13.40726764
15,25,5,0.907770327,12.18215777
15,25,7,0.904459623,16.60635974
15,25,9,0.867401373,18.47331378
15,30,3,0.842261314,12.22268817
15,30,5,0.879254329,16.57302539
15,30,7,0.885629499,12.43846576
15,30,9,0.842146265,11.56425616
15,35,3,0.885092628,12.86502826
15,35,5,0.885486924,12.92225177
15,35,7,0.863130748,20.86204974
15,35,9,0.885057771,16.86956927
15,40,3,0.884365618,12.97549578
15,40,5,0.86393429,12.95052935
15,40,7,0.84859159,13.17811114
15,40,9,0.885023939,12.56630236
15,45,3,0.883787334,17.10492083
15,45,5,0.857215082,13.69843585
15,45,7,0.867050039,16.62590777
15,45,9,0.88434962,16.83744799
15,50,3,0.886466968,13.67683398
15,50,5,0.845672559,13.24449603
15,50,7,0.885269105,17.0839934
15,50,9,0.87172054,17.23276355
15,55,3,0.862770116,12.89954821
15,55,5,0.861817586,12.54769427
15,55,7,0.861763751,17.73906771
15,55,9,0.884025728,16.87251117
15,60,3,0.866730582,15.76497638
15,60,5,0.870847094,13.31925799
15,60,7,0.863817775,13.27304522
15,60,9,0.882959067,13.33340899
15,65,3,0.884650504,16.80461947
15,65,5,0.883938324,13.46340777
15,65,7,0.884615671,12.90937182
15,65,9,0.88460983,12.33894488
15,70,3,0.845506632,17.101673
15,70,5,0.877765524,12.51673419
15,70,7,0.881208598,21.03874041
15,70,9,0.88465079,13.07404162
15,75,3,0.883789193,18.0374953
15,75,5,0.879865133,17.30140368
15,75,7,0.872303831,18.05674197
15,75,9,0.8630777,14.50250842
15,80,3,0.881356012,14.17857501
15,80,5,0.878025996,12.98523394
15,80,7,0.86256169,13.1857619
15,80,9,0.857371044,13.87802722
15,85,3,0.849534332,12.61348254
15,85,5,0.88528217,13.01921222
15,85,7,0.8865013,13.71859881
15,85,9,0.877104556,13.76764056
15,90,3,0.88440715,12.83686053
15,90,5,0.884485781,17.5509215
15,90,7,0.885493219,12.42318866
15,90,9,0.857114851,21.08640124
15,95,3,0.870315182,13.07282855
15,95,5,0.846138346,13.20942065
15,95,7,0.868693816,14.33796832
15,95,9,0.826406228,12.61170184
15,100,3,0.8854694,12.56125018
15,100,5,0.862400567,16.73937594
15,100,7,0.87336806,13.38426031
15,100,9,0.8837206,13.33838018
15,105,3,0.884628403,17.18703283
15,105,5,0.870215761,13.86608404
15,105,7,0.886310804,17.31945471
15,105,9,0.822910666,13.39329962
15,110,3,0.884310901,13.54469885
15,110,5,0.846937465,12.54697393
15,110,7,0.884989297,21.38232244
15,110,9,0.884177029,13.83352941
15,115,3,0.842728924,12.91568731
15,115,5,0.8752833,16.92495855
15,115,7,0.886377418,17.8282987
15,115,9,0.882662379,12.83819403
15,120,3,0.850908649,17.58451513
15,120,5,0.884360134,14.85370001
15,120,7,0.884116876,14.76191381
15,120,9,0.8869192,17.81828894
15,125,3,0.885791075,17.71313147
15,125,5,0.858607125,14.17423529
15,125,7,0.883388507,12.59236273
15,125,9,0.848909938,12.53808416
15,130,3,0.878733313,17.53254217
15,130,5,0.853569603,13.57144598
15,130,7,0.884060752,17.95829748
15,130,9,0.883377802,18.08416876
15,135,3,0.871948897,17.22474493
15,135,5,0.849483084,13.59712194
15,135,7,0.801403856,17.78851751
15,135,9,0.883441841,12.59908728
15,140,3,0.859136641,22.18060125
15,140,5,0.884862005,12.84971136
15,140,7,0.869901645,13.84911016
15,140,9,0.826558649,13.68592199
15,145,3,0.859945795,18.17366615
15,145,5,0.806498525,17.6103521
15,145,7,0.851626512,14.23068901
15,145,9,0.860096929,18.378153
15,150,3,0.837029502,17.50310857
15,150,5,0.856669208,13.7042072
15,150,7,0.837604258,17.02414433
15,150,9,0.842634055,14.20281102
15,155,3,0.815933177,14.23275792
15,155,5,0.796510503,17.46287648
15,155,7,0.860074279,13.51712987
15,155,9,0.824407956,13.571059
15,160,3,0.854274818,13.20488316
15,160,5,0.86034033,17.10960271
15,160,7,0.815855977,18.39763447
15,160,9,0.804608461,17.33867604
15,165,3,0.849134895,12.94771153
15,165,5,0.845229527,17.50020329
15,165,7,0.837873265,14.02813908
15,165,9,0.806965754,15.78586308
15,170,3,0.821997759,13.82628667
15,170,5,0.84807162,17.33505055
15,170,7,0.860725924,18.36009938
15,170,9,0.84829652,13.06864812
15,175,3,0.815461359,14.28178746
15,175,5,0.860979721,14.18578374
15,175,7,0.861586377,21.69965703
