,Number
2014-09-09 14:52:00,11388
2014-09-09 14:54:00,11092
2014-09-09 14:56:00,11196
2014-09-09 14:58:00,11600
2014-09-09 15:00:00,10179
2014-09-09 15:02:00,9782
2014-09-09 15:04:00,8470
2014-09-09 15:06:00,10188
2014-09-09 15:08:00,13202
2014-09-09 15:10:00,12599
2014-09-09 15:12:00,12096
2014-09-09 15:14:00,10992
2014-09-09 15:16:00,11000
2014-09-09 15:18:00,11792
2014-09-09 15:20:00,14116
2014-09-09 15:22:00,12508
2014-09-09 15:24:00,12001
2014-09-09 15:26:00,13823
2014-09-09 15:28:00,13614
2014-09-09 15:30:00,12908
2014-09-09 15:32:00,13312
2014-09-09 15:34:00,10981
2014-09-09 15:36:00,11604
2014-09-09 15:38:00,13811
2014-09-09 15:40:00,15026
2014-09-09 15:42:00,13301
2014-09-09 15:44:00,12908
2014-09-09 15:46:00,16533
2014-09-09 15:48:00,15332
2014-09-09 15:50:00,15130
2014-09-09 15:52:00,14619
2014-09-09 15:54:00,16138
2014-09-09 15:56:00,13911
2014-09-09 15:58:00,13107
2014-09-09 16:00:00,15732
2014-09-09 16:02:00,13910
2014-09-09 16:04:00,12911
2014-09-09 16:06:00,14222
2014-09-09 16:08:00,14723
2014-09-09 16:10:00,13924
2014-09-09 16:12:00,13807
2014-09-09 16:14:00,14115
2014-09-09 16:16:00,12699
2014-09-09 16:18:00,13710
2014-09-09 16:20:00,13908
2014-09-09 16:22:00,11794
2014-09-09 16:24:00,13614
2014-09-09 16:26:00,13319
2014-09-09 16:28:00,15732
2014-09-09 16:30:00,16239
2014-09-09 16:32:00,17347
2014-09-09 16:34:00,17249
2014-09-09 16:36:00,15334
2014-09-09 16:38:00,16439
2014-09-09 16:40:00,13317
2014-09-09 16:42:00,13715
2014-09-09 16:44:00,13705
2014-09-09 16:46:00,14318
2014-09-09 16:48:00,13406
2014-09-09 16:50:00,15830
2014-09-09 16:52:00,15028
2014-09-09 16:54:00,13510
2014-09-09 16:56:00,14419
2014-09-09 16:58:00,15737
2014-09-09 17:00:00,12103
2014-09-09 17:02:00,12302
2014-09-09 17:04:00,13714
2014-09-09 17:06:00,13617
2014-09-09 17:08:00,14016
2014-09-09 17:10:00,18964
2014-09-09 17:12:00,17746
2014-09-09 17:14:00,17852
2014-09-09 17:16:00,13321
2014-09-09 17:18:00,16741
2014-09-09 17:20:00,17751
2014-09-09 17:22:00,17550
2014-09-09 17:24:00,16738
2014-09-09 17:26:00,16739
2014-09-09 17:28:00,15534
2014-09-09 17:30:00,16241
2014-09-09 17:32:00,15524
2014-09-09 17:34:00,14313
2014-09-09 17:36:00,14030
2014-09-09 17:38:00,15724
2014-09-09 17:40:00,16736
2014-09-09 17:42:00,17237
2014-09-09 17:44:00,13519
2014-09-09 17:46:00,19160
2014-09-09 17:48:00,19168
2014-09-09 17:50:00,16343
2014-09-09 17:52:00,19565
2014-09-09 17:54:00,16641
2014-09-09 17:56:00,17141
2014-09-09 17:58:00,17340
2014-09-09 18:00:00,17851
2014-09-09 18:02:00,17342
2014-09-09 18:04:00,14326
2014-09-09 18:06:00,16442
2014-09-09 18:08:00,16140
2014-09-09 18:10:00,16438
2014-09-09 18:12:00,15024
2014-09-09 18:14:00,17553
2014-09-09 18:16:00,15331
2014-09-09 18:18:00,15630
2014-09-09 18:20:00,15936
2014-09-09 18:22:00,14921
2014-09-09 18:24:00,16947
2014-09-09 18:26:00,16746
2014-09-09 18:28:00,16942
2014-09-09 18:30:00,18153
2014-09-09 18:32:00,16952
2014-09-09 18:34:00,20078
2014-09-09 18:36:00,18055
2014-09-09 18:38:00,19965
2014-09-09 18:40:00,14527
2014-09-09 18:42:00,17144
2014-09-09 18:44:00,17533
2014-09-09 18:46:00,14621
2014-09-09 18:48:00,16532
2014-09-09 18:50:00,14824
2014-09-09 18:52:00,18052
2014-09-09 18:54:00,15028
2014-09-09 18:56:00,16440
2014-09-09 18:58:00,17758
2014-09-09 19:00:00,14728
2014-09-09 19:02:00,14016
2014-09-09 19:04:00,17448
2014-09-09 19:06:00,16236
2014-09-09 19:08:00,16946
2014-09-09 19:10:00,20278
2014-09-09 19:12:00,19259
2014-09-09 19:14:00,19165
2014-09-09 19:16:00,15734
2014-09-09 19:18:00,16340
2014-09-09 19:20:00,18765
2014-09-09 19:22:00,19466
2014-09-09 19:24:00,18149
2014-09-09 19:26:00,16132
2014-09-09 19:28:00,16944
2014-09-09 19:30:00,16238
2014-09-09 19:32:00,15227
2014-09-09 19:34:00,13821
2014-09-09 19:36:00,16950
2014-09-09 19:38:00,15016
2014-09-09 19:40:00,14916
2014-09-09 19:42:00,17247
2014-09-09 19:44:00,14932
2014-09-09 19:46:00,17040
2014-09-09 19:48:00,18266
2014-09-09 19:50:00,15537
2014-09-09 19:52:00,18555
2014-09-09 19:54:00,14012
2014-09-09 19:56:00,16948
2014-09-09 19:58:00,17247
2014-09-09 20:00:00,16946
2014-09-09 20:02:00,15325
2014-09-09 20:04:00,14420
2014-09-09 20:06:00,15734
2014-09-09 20:08:00,18049
2014-09-09 20:10:00,14724
2014-09-09 20:12:00,15438
2014-09-09 20:14:00,18061
2014-09-09 20:16:00,16438
2014-09-09 20:18:00,15029
2014-09-09 20:20:00,16938
2014-09-09 20:22:00,16734
2014-09-09 20:24:00,17653
2014-09-09 20:26:00,17241
2014-09-09 20:28:00,15321
2014-09-09 20:30:00,17855
2014-09-09 20:32:00,14623
2014-09-09 20:34:00,17859
2014-09-09 20:36:00,15630
2014-09-09 20:38:00,17536
2014-09-09 20:40:00,15130
2014-09-09 20:42:00,17649
2014-09-09 20:44:00,18748
2014-09-09 20:46:00,15535
2014-09-09 20:48:00,18650
2014-09-09 20:50:00,14821
2014-09-09 20:52:00,17341
2014-09-09 20:54:00,16346
2014-09-09 20:56:00,15431
2014-09-09 20:58:00,16448
2014-09-09 21:00:00,13715
2014-09-09 21:02:00,13716
2014-09-09 21:04:00,12601
2014-09-09 21:06:00,13707
2014-09-09 21:08:00,14933
2014-09-09 21:10:00,15531
2014-09-09 21:12:00,17948
2014-09-09 21:14:00,15833
2014-09-09 21:16:00,16635
2014-09-09 21:18:00,13315
2014-09-09 21:20:00,16442
2014-09-09 21:22:00,15733
2014-09-09 21:24:00,16633
2014-09-09 21:26:00,15126
2014-09-09 21:28:00,13514
2014-09-09 21:30:00,14823
2014-09-09 21:32:00,13009
2014-09-09 21:34:00,12913
2014-09-09 21:36:00,15835
2014-09-09 21:38:00,15020
2014-09-09 21:40:00,14015
2014-09-09 21:42:00,13722
2014-09-09 21:44:00,14124
2014-09-09 21:46:00,14517
2014-09-09 21:48:00,14431
2014-09-09 21:50:00,12105
2014-09-09 21:52:00,13812
2014-09-09 21:54:00,12598
2014-09-09 21:56:00,14328
2014-09-09 21:58:00,12907
2014-09-09 22:00:00,12507
2014-09-09 22:02:00,12601
2014-09-09 22:04:00,12195
2014-09-09 22:06:00,12300
2014-09-09 22:08:00,14822
2014-09-09 22:10:00,10691
2014-09-09 22:12:00,12706
2014-09-09 22:14:00,13216
2014-09-09 22:16:00,12607
2014-09-09 22:18:00,10492
2014-09-09 22:20:00,12605
2014-09-09 22:22:00,13309
2014-09-09 22:24:00,13816
2014-09-09 22:26:00,13202
2014-09-09 22:28:00,10988
2014-09-09 22:30:00,13216
2014-09-09 22:32:00,10381
2014-09-09 22:34:00,12107
2014-09-09 22:36:00,10382
2014-09-09 22:38:00,13408
2014-09-09 22:40:00,12504
2014-09-09 22:42:00,12299
2014-09-09 22:44:00,13721
2014-09-09 22:46:00,12104
2014-09-09 22:48:00,11692
2014-09-09 22:50:00,12101
2014-09-09 22:52:00,10887
2014-09-09 22:54:00,11805
2014-09-09 22:56:00,10686
2014-09-09 22:58:00,10696
2014-09-09 23:00:00,10285
2014-09-09 23:02:00,9886
2014-09-09 23:04:00,8364
2014-09-09 23:06:00,9169
2014-09-09 23:08:00,8375
2014-09-09 23:10:00,9683
2014-09-09 23:12:00,12404
2014-09-09 23:14:00,11898
2014-09-09 23:16:00,10788
2014-09-09 23:18:00,10388
2014-09-09 23:20:00,10588
2014-09-09 23:22:00,9785
2014-09-09 23:24:00,11086
2014-09-09 23:26:00,10391
2014-09-09 23:28:00,8472
2014-09-09 23:30:00,10690
2014-09-09 23:32:00,8269
2014-09-09 23:34:00,9276
2014-09-09 23:36:00,8772
2014-09-09 23:38:00,9983
2014-09-09 23:40:00,9180
2014-09-09 23:42:00,8777
2014-09-09 23:44:00,7966
2014-09-09 23:46:00,10082
2014-09-09 23:48:00,7865
2014-09-09 23:50:00,6860
2014-09-09 23:52:00,8168
2014-09-09 23:54:00,8671
2014-09-09 23:56:00,8878
2014-09-09 23:58:00,7661
2014-09-10 00:00:00,6756
2014-09-10 00:02:00,7561
2014-09-10 00:04:00,7657
2014-09-10 00:06:00,7058
2014-09-10 00:08:00,6559
2014-09-10 00:10:00,7062
2014-09-10 00:12:00,7258
2014-09-10 00:14:00,6756
2014-09-10 00:16:00,7065
2014-09-10 00:18:00,7060
2014-09-10 00:20:00,5853
2014-09-10 00:22:00,7056
2014-09-10 00:24:00,7565
2014-09-10 00:26:00,6453
2014-09-10 00:28:00,5445
2014-09-10 00:30:00,6455
2014-09-10 00:32:00,4840
2014-09-10 00:34:00,5751
2014-09-10 00:36:00,5545
2014-09-10 00:38:00,7463
2014-09-10 00:40:00,6753
2014-09-10 00:42:00,6550
2014-09-10 00:44:00,7066
2014-09-10 00:46:00,5949
2014-09-10 00:48:00,4431
2014-09-10 00:50:00,5345
2014-09-10 00:52:00,4231
2014-09-10 00:54:00,5754
2014-09-10 00:56:00,4235
2014-09-10 00:58:00,4641
2014-09-10 01:00:00,5750
2014-09-10 01:02:00,5345
2014-09-10 01:04:00,5849
2014-09-10 01:06:00,5442
2014-09-10 01:08:00,4438
2014-09-10 01:10:00,4340
2014-09-10 01:12:00,5751
2014-09-10 01:14:00,3934
2014-09-10 01:16:00,3126
2014-09-10 01:18:00,4334
2014-09-10 01:20:00,4133
2014-09-10 01:22:00,4541
2014-09-10 01:24:00,3728
2014-09-10 01:26:00,4542
2014-09-10 01:28:00,4036
2014-09-10 01:30:00,4535
2014-09-10 01:32:00,4038
2014-09-10 01:34:00,4032
2014-09-10 01:36:00,3022
2014-09-10 01:38:00,2923
2014-09-10 01:40:00,3231
2014-09-10 01:42:00,3325
2014-09-10 01:44:00,2823
2014-09-10 01:46:00,4434
2014-09-10 01:48:00,2924
2014-09-10 01:50:00,2524
2014-09-10 01:52:00,3533
2014-09-10 01:54:00,3534
2014-09-10 01:56:00,3933
2014-09-10 01:58:00,3125
2014-09-10 02:00:00,2521
2014-09-10 02:02:00,1814
2014-09-10 02:04:00,3020
2014-09-10 02:06:00,2523
2014-09-10 02:08:00,2221
2014-09-10 02:10:00,3029
2014-09-10 02:12:00,2724
2014-09-10 02:14:00,3326
2014-09-10 02:16:00,1919
2014-09-10 02:18:00,2726
2014-09-10 02:20:00,1615
2014-09-10 02:22:00,2924
2014-09-10 02:24:00,1714
2014-09-10 02:26:00,1615
2014-09-10 02:28:00,1915
2014-09-10 02:30:00,1615
2014-09-10 02:32:00,2521
2014-09-10 02:34:00,1715
2014-09-10 02:36:00,1312
2014-09-10 02:38:00,1613
2014-09-10 02:40:00,2015
2014-09-10 02:42:00,2015
2014-09-10 02:44:00,2120
2014-09-10 02:46:00,2421
2014-09-10 02:48:00,1712
2014-09-10 02:50:00,1513
2014-09-10 02:52:00,1311
2014-09-10 02:54:00,2121
2014-09-10 02:56:00,1210
2014-09-10 02:58:00,1309
2014-09-10 03:00:00,1817
2014-09-10 03:02:00,2117
2014-09-10 03:04:00,2522
2014-09-10 03:06:00,1915
2014-09-10 03:08:00,1717
2014-09-10 03:10:00,1815
2014-09-10 03:12:00,2322
2014-09-10 03:14:00,808
2014-09-10 03:16:00,1413
2014-09-10 03:18:00,1208
2014-09-10 03:20:00,2115
2014-09-10 03:22:00,2321
2014-09-10 03:24:00,1312
2014-09-10 03:26:00,2624
2014-09-10 03:28:00,1413
2014-09-10 03:30:00,1510
2014-09-10 03:32:00,1918
2014-09-10 03:34:00,2522
2014-09-10 03:36:00,1412
2014-09-10 03:38:00,1509
2014-09-10 03:40:00,2117
2014-09-10 03:42:00,1714
2014-09-10 03:44:00,706
2014-09-10 03:46:00,2521
2014-09-10 03:48:00,2118
2014-09-10 03:50:00,1109
2014-09-10 03:52:00,2726
2014-09-10 03:54:00,2018
2014-09-10 03:56:00,2217
2014-09-10 03:58:00,1915
2014-09-10 04:00:00,1611
2014-09-10 04:02:00,1412
2014-09-10 04:04:00,2417
2014-09-10 04:06:00,1716
2014-09-10 04:08:00,1612
2014-09-10 04:10:00,1814
2014-09-10 04:12:00,2220
2014-09-10 04:14:00,3130
2014-09-10 04:16:00,2220
2014-09-10 04:18:00,2218
2014-09-10 04:20:00,1817
2014-09-10 04:22:00,2825
2014-09-10 04:24:00,1612
2014-09-10 04:26:00,2017
2014-09-10 04:28:00,807
2014-09-10 04:30:00,1616
2014-09-10 04:32:00,2925
2014-09-10 04:34:00,2017
2014-09-10 04:36:00,1711
2014-09-10 04:38:00,1513
2014-09-10 04:40:00,2120
2014-09-10 04:42:00,1313
2014-09-10 04:44:00,1915
2014-09-10 04:46:00,2218
2014-09-10 04:48:00,2422
2014-09-10 04:50:00,1110
2014-09-10 04:52:00,2116
2014-09-10 04:54:00,2219
2014-09-10 04:56:00,1713
2014-09-10 04:58:00,1713
2014-09-10 05:00:00,1613
2014-09-10 05:02:00,2320
2014-09-10 05:04:00,2217
2014-09-10 05:06:00,2621
2014-09-10 05:08:00,2215
2014-09-10 05:10:00,3023
2014-09-10 05:12:00,2321
2014-09-10 05:14:00,2422
2014-09-10 05:16:00,2522
2014-09-10 05:18:00,2621
2014-09-10 05:20:00,3728
2014-09-10 05:22:00,3225
2014-09-10 05:24:00,3427
2014-09-10 05:26:00,4027
2014-09-10 05:28:00,4428
2014-09-10 05:30:00,3631
2014-09-10 05:32:00,3428
2014-09-10 05:34:00,3529
2014-09-10 05:36:00,2925
2014-09-10 05:38:00,3628
2014-09-10 05:40:00,3831
2014-09-10 05:42:00,4235
2014-09-10 05:44:00,4033
2014-09-10 05:46:00,3328
2014-09-10 05:48:00,4638
2014-09-10 05:50:00,3521
2014-09-10 05:52:00,4540
2014-09-10 05:54:00,4029
2014-09-10 05:56:00,4336
2014-09-10 05:58:00,4841
2014-09-10 06:00:00,4229
2014-09-10 06:02:00,4844
2014-09-10 06:04:00,6246
2014-09-10 06:06:00,4638
2014-09-10 06:08:00,5641
2014-09-10 06:10:00,3627
2014-09-10 06:12:00,5950
2014-09-10 06:14:00,7159
2014-09-10 06:16:00,5847
2014-09-10 06:18:00,7060
2014-09-10 06:20:00,4941
2014-09-10 06:22:00,6447
2014-09-10 06:24:00,5348
2014-09-10 06:26:00,5848
2014-09-10 06:28:00,5542
2014-09-10 06:30:00,6961
2014-09-10 06:32:00,5651
2014-09-10 06:34:00,5949
2014-09-10 06:36:00,5945
2014-09-10 06:38:00,6552
2014-09-10 06:40:00,6356
2014-09-10 06:42:00,6149
2014-09-10 06:44:00,6855
2014-09-10 06:46:00,7064
2014-09-10 06:48:00,6052
2014-09-10 06:50:00,4939
2014-09-10 06:52:00,5444
2014-09-10 06:54:00,5846
2014-09-10 06:56:00,6352
2014-09-10 06:58:00,6049
2014-09-10 07:00:00,5043
2014-09-10 07:02:00,8170
2014-09-10 07:04:00,7862
2014-09-10 07:06:00,7154
2014-09-10 07:08:00,7758
2014-09-10 07:10:00,7969
2014-09-10 07:12:00,7666
2014-09-10 07:14:00,7056
2014-09-10 07:16:00,8575
2014-09-10 07:18:00,7467
2014-09-10 07:20:00,7562
2014-09-10 07:22:00,6956
2014-09-10 07:24:00,9476
2014-09-10 07:26:00,8562
2014-09-10 07:28:00,8968
2014-09-10 07:30:00,8674
2014-09-10 07:32:00,9782
2014-09-10 07:34:00,7864
2014-09-10 07:36:00,9278
2014-09-10 07:38:00,7967
2014-09-10 07:40:00,8372
2014-09-10 07:42:00,9075
2014-09-10 07:44:00,9478
2014-09-10 07:46:00,7264
2014-09-10 07:48:00,7664
2014-09-10 07:50:00,8869
2014-09-10 07:52:00,7961
2014-09-10 07:54:00,9980
2014-09-10 07:56:00,9280
2014-09-10 07:58:00,8881
2014-09-10 08:00:00,8366
2014-09-10 08:02:00,9991
2014-09-10 08:04:00,9376
2014-09-10 08:06:00,8968
2014-09-10 08:08:00,12910
2014-09-10 08:10:00,10381
2014-09-10 08:12:00,10792
2014-09-10 08:14:00,11797
2014-09-10 08:16:00,10082
2014-09-10 08:18:00,11802
2014-09-10 08:20:00,8470
2014-09-10 08:22:00,10684
2014-09-10 08:24:00,10699
2014-09-10 08:26:00,11089
2014-09-10 08:28:00,9979
2014-09-10 08:30:00,12197
2014-09-10 08:32:00,9890
2014-09-10 08:34:00,10383
2014-09-10 08:36:00,10189
2014-09-10 08:38:00,11392
2014-09-10 08:40:00,11397
2014-09-10 08:42:00,10892
2014-09-10 08:44:00,10793
2014-09-10 08:46:00,12211
2014-09-10 08:48:00,8972
2014-09-10 08:50:00,10388
2014-09-10 08:52:00,10486
2014-09-10 08:54:00,9779
2014-09-10 08:56:00,11801
2014-09-10 08:58:00,9681
2014-09-10 09:00:00,8976
2014-09-10 09:02:00,11495
2014-09-10 09:04:00,12402
2014-09-10 09:06:00,10179
2014-09-10 09:08:00,10684
2014-09-10 09:10:00,10296
2014-09-10 09:12:00,10990
2014-09-10 09:14:00,10687
2014-09-10 09:16:00,12713
2014-09-10 09:18:00,9785
2014-09-10 09:20:00,8975
2014-09-10 09:22:00,10185
2014-09-10 09:24:00,12206
2014-09-10 09:26:00,11097
2014-09-10 09:28:00,10789
2014-09-10 09:30:00,10996
2014-09-10 09:32:00,11300
2014-09-10 09:34:00,10688
2014-09-10 09:36:00,10891
2014-09-10 09:38:00,9578
2014-09-10 09:40:00,10289
2014-09-10 09:42:00,9983
2014-09-10 09:44:00,9377
2014-09-10 09:46:00,10293
2014-09-10 09:48:00,8974
2014-09-10 09:50:00,10994
2014-09-10 09:52:00,9472
2014-09-10 09:54:00,11496
2014-09-10 09:56:00,9482
2014-09-10 09:58:00,9684
2014-09-10 10:00:00,8770
2014-09-10 10:02:00,10589
2014-09-10 10:04:00,9581
2014-09-10 10:06:00,9779
2014-09-10 10:08:00,12309
2014-09-10 10:10:00,12303
2014-09-10 10:12:00,10492
2014-09-10 10:14:00,10189
2014-09-10 10:16:00,12500
2014-09-10 10:18:00,8973
2014-09-10 10:20:00,9281
2014-09-10 10:22:00,10289
2014-09-10 10:24:00,10899
2014-09-10 10:26:00,9679
2014-09-10 10:28:00,9072
2014-09-10 10:30:00,9880
2014-09-10 10:32:00,11403
2014-09-10 10:34:00,10083
2014-09-10 10:36:00,11297
2014-09-10 10:38:00,9578
2014-09-10 10:40:00,11597
2014-09-10 10:42:00,9689
2014-09-10 10:44:00,9887
2014-09-10 10:46:00,10692
2014-09-10 10:48:00,8872
2014-09-10 10:50:00,9789
2014-09-10 10:52:00,10989
2014-09-10 10:54:00,9079
2014-09-10 10:56:00,12103
2014-09-10 10:58:00,10286
2014-09-10 11:00:00,8574
2014-09-10 11:02:00,10185
2014-09-10 11:04:00,9583
2014-09-10 11:06:00,9682
2014-09-10 11:08:00,10484
2014-09-10 11:10:00,9284
2014-09-10 11:12:00,10892
2014-09-10 11:14:00,10690
2014-09-10 11:16:00,11503
2014-09-10 11:18:00,8571
2014-09-10 11:20:00,8776
2014-09-10 11:22:00,9681
2014-09-10 11:24:00,10287
2014-09-10 11:26:00,9686
2014-09-10 11:28:00,9983
2014-09-10 11:30:00,11700
2014-09-10 11:32:00,9584
2014-09-10 11:34:00,11298
2014-09-10 11:36:00,6958
2014-09-10 11:38:00,8467
2014-09-10 11:40:00,9990
2014-09-10 11:42:00,8267
2014-09-10 11:44:00,9074
2014-09-10 11:46:00,9381
2014-09-10 11:48:00,9681
2014-09-10 11:50:00,9684
2014-09-10 11:52:00,8772
2014-09-10 11:54:00,9179
2014-09-10 11:56:00,8674
2014-09-10 11:58:00,8869
2014-09-10 12:00:00,7755
2014-09-10 12:02:00,8160
2014-09-10 12:04:00,8471
2014-09-10 12:06:00,8575
2014-09-10 12:08:00,9174
2014-09-10 12:10:00,9279
2014-09-10 12:12:00,8973
2014-09-10 12:14:00,8775
2014-09-10 12:16:00,10888
2014-09-10 12:18:00,8263
2014-09-10 12:20:00,8877
2014-09-10 12:22:00,7666
2014-09-10 12:24:00,9282
2014-09-10 12:26:00,6960
2014-09-10 12:28:00,9073
2014-09-10 12:30:00,7862
2014-09-10 12:32:00,9078
2014-09-10 12:34:00,8769
2014-09-10 12:36:00,11293
2014-09-10 12:38:00,8574
2014-09-10 12:40:00,10184
2014-09-10 12:42:00,8779
2014-09-10 12:44:00,8466
2014-09-10 12:46:00,9180
2014-09-10 12:48:00,9075
2014-09-10 12:50:00,9278
2014-09-10 12:52:00,9076
2014-09-10 12:54:00,7670
2014-09-10 12:56:00,9779
2014-09-10 12:58:00,9984
2014-09-10 13:00:00,8571
2014-09-10 13:02:00,10288
2014-09-10 13:04:00,9988
2014-09-10 13:06:00,9885
2014-09-10 13:08:00,10183
2014-09-10 13:10:00,10182
2014-09-10 13:12:00,12102
2014-09-10 13:14:00,10793
2014-09-10 13:16:00,9884
2014-09-10 13:18:00,10788
2014-09-10 13:20:00,9283
2014-09-10 13:22:00,9481
2014-09-10 13:24:00,10481
2014-09-10 13:26:00,8874
2014-09-10 13:28:00,8171
2014-09-10 13:30:00,11594
2014-09-10 13:32:00,9886
2014-09-10 13:34:00,11094
2014-09-10 13:36:00,8272
2014-09-10 13:38:00,10490
2014-09-10 13:40:00,10895
2014-09-10 13:42:00,7566
2014-09-10 13:44:00,10586
2014-09-10 13:46:00,8368
2014-09-10 13:48:00,10385
2014-09-10 13:50:00,8874
2014-09-10 13:52:00,9481
2014-09-10 13:54:00,10491
2014-09-10 13:56:00,10891
2014-09-10 13:58:00,10180
2014-09-10 14:00:00,8968
2014-09-10 14:02:00,10182
2014-09-10 14:04:00,9382
2014-09-10 14:06:00,9179
2014-09-10 14:08:00,10888
2014-09-10 14:10:00,10078
2014-09-10 14:12:00,10581
2014-09-10 14:14:00,10388
2014-09-10 14:16:00,9279
2014-09-10 14:18:00,11591
2014-09-10 14:20:00,11093
2014-09-10 14:22:00,9782
2014-09-10 14:24:00,10380
2014-09-10 14:26:00,11490
2014-09-10 14:28:00,11189
2014-09-10 14:30:00,11486
2014-09-10 14:32:00,10186
2014-09-10 14:34:00,10383
2014-09-10 14:36:00,11396
2014-09-10 14:38:00,11697
2014-09-10 14:40:00,11498
2014-09-10 14:42:00,11703
2014-09-10 14:44:00,9982
2014-09-10 14:46:00,12003
2014-09-10 14:48:00,11388
2014-09-10 14:50:00,11187
2014-09-10 14:52:00,10685
2014-09-10 14:54:00,10585
2014-09-10 14:56:00,11387
2014-09-10 14:58:00,9480
2014-09-10 15:00:00,10684
2014-09-10 15:02:00,11701
2014-09-10 15:04:00,13010
2014-09-10 15:06:00,12199
2014-09-10 15:08:00,12905
2014-09-10 15:10:00,12600
2014-09-10 15:12:00,13209
2014-09-10 15:14:00,13417
2014-09-10 15:16:00,11498
2014-09-10 15:18:00,14121
2014-09-10 15:20:00,11399
2014-09-10 15:22:00,12003
2014-09-10 15:24:00,13310
2014-09-10 15:26:00,12915
2014-09-10 15:28:00,12205
2014-09-10 15:30:00,12504
2014-09-10 15:32:00,13408
2014-09-10 15:34:00,11591
2014-09-10 15:36:00,12507
2014-09-10 15:38:00,12009
2014-09-10 15:40:00,13815
2014-09-10 15:42:00,13415
2014-09-10 15:44:00,11695
2014-09-10 15:46:00,11296
2014-09-10 15:48:00,11900
2014-09-10 15:50:00,11693
2014-09-10 15:52:00,13914
2014-09-10 15:54:00,12801
2014-09-10 15:56:00,13814
2014-09-10 15:58:00,13812
2014-09-10 16:00:00,13410
2014-09-10 16:02:00,15127
2014-09-10 16:04:00,14823
2014-09-10 16:06:00,11499
2014-09-10 16:08:00,14622
2014-09-10 16:10:00,13611
2014-09-10 16:12:00,13210
2014-09-10 16:14:00,13520
2014-09-10 16:16:00,11196
2014-09-10 16:18:00,15324
2014-09-10 16:20:00,16739
2014-09-10 16:22:00,16134
2014-09-10 16:24:00,13301
2014-09-10 16:26:00,14917
2014-09-10 16:28:00,16336
2014-09-10 16:30:00,16234
2014-09-10 16:32:00,15229
2014-09-10 16:34:00,12811
2014-09-10 16:36:00,13408
2014-09-10 16:38:00,14620
2014-09-10 16:40:00,13216
2014-09-10 16:42:00,15220
2014-09-10 16:44:00,13413
2014-09-10 16:46:00,14418
2014-09-10 16:48:00,15220
2014-09-10 16:50:00,14112
2014-09-10 16:52:00,14522
2014-09-10 16:54:00,14823
2014-09-10 16:56:00,15529
2014-09-10 16:58:00,13918
2014-09-10 17:00:00,14824
2014-09-10 17:02:00,16040
2014-09-10 17:04:00,16748
2014-09-10 17:06:00,16332
2014-09-10 17:08:00,17554
2014-09-10 17:10:00,14723
2014-09-10 17:12:00,17044
2014-09-10 17:14:00,19063
2014-09-10 17:16:00,16239
2014-09-10 17:18:00,17252
2014-09-10 17:20:00,14928
2014-09-10 17:22:00,15937
2014-09-10 17:24:00,16743
2014-09-10 17:26:00,16850
2014-09-10 17:28:00,15531
2014-09-10 17:30:00,16544
2014-09-10 17:32:00,19153
2014-09-10 17:34:00,14317
2014-09-10 17:36:00,16336
2014-09-10 17:38:00,14316
2014-09-10 17:40:00,17046
2014-09-10 17:42:00,19764
2014-09-10 17:44:00,15834
2014-09-10 17:46:00,16539
2014-09-10 17:48:00,16542
2014-09-10 17:50:00,15637
2014-09-10 17:52:00,20368
2014-09-10 17:54:00,17339
2014-09-10 17:56:00,18554
2014-09-10 17:58:00,17648
2014-09-10 18:00:00,17547
2014-09-10 18:02:00,17951
2014-09-10 18:04:00,17543
2014-09-10 18:06:00,16536
2014-09-10 18:08:00,17348
2014-09-10 18:10:00,18958
2014-09-10 18:12:00,16952
2014-09-10 18:14:00,18258
2014-09-10 18:16:00,17659
2014-09-10 18:18:00,18253
2014-09-10 18:20:00,19663
2014-09-10 18:22:00,21888
2014-09-10 18:24:00,17348
2014-09-10 18:26:00,15924
2014-09-10 18:28:00,19467
2014-09-10 18:30:00,19769
2014-09-10 18:32:00,17952
2014-09-10 18:34:00,15941
2014-09-10 18:36:00,16133
2014-09-10 18:38:00,17749
2014-09-10 18:40:00,16545
2014-09-10 18:42:00,18349
2014-09-10 18:44:00,17343
2014-09-10 18:46:00,18250
2014-09-10 18:48:00,17845
2014-09-10 18:50:00,16429
2014-09-10 18:52:00,17652
2014-09-10 18:54:00,16841
2014-09-10 18:56:00,17152
2014-09-10 18:58:00,18655
2014-09-10 19:00:00,18963
2014-09-10 19:02:00,17955
2014-09-10 19:04:00,18774
2014-09-10 19:06:00,17641
2014-09-10 19:08:00,17662
2014-09-10 19:10:00,17345
2014-09-10 19:12:00,17745
2014-09-10 19:14:00,20277
2014-09-10 19:16:00,16848
2014-09-10 19:18:00,19065
2014-09-10 19:20:00,16947
2014-09-10 19:22:00,16543
2014-09-10 19:24:00,17854
2014-09-10 19:26:00,18660
2014-09-10 19:28:00,15133
2014-09-10 19:30:00,18963
2014-09-10 19:32:00,19666
2014-09-10 19:34:00,17448
2014-09-10 19:36:00,17249
2014-09-10 19:38:00,17735
2014-09-10 19:40:00,18159
2014-09-10 19:42:00,19965
2014-09-10 19:44:00,18664
2014-09-10 19:46:00,18353
2014-09-10 19:48:00,17145
2014-09-10 19:50:00,16248
2014-09-10 19:52:00,20675
2014-09-10 19:54:00,17549
2014-09-10 19:56:00,18057
2014-09-10 19:58:00,18750
