,Number
2014-09-01 06:40:00,2312
2014-09-01 06:42:00,1910
2014-09-01 06:44:00,1710
2014-09-01 06:46:00,1711
2014-09-01 06:48:00,1613
2014-09-01 06:50:00,2017
2014-09-01 06:52:00,1813
2014-09-01 06:54:00,2319
2014-09-01 06:56:00,1311
2014-09-01 06:58:00,2617
2014-09-01 07:00:00,2716
2014-09-01 07:02:00,1810
2014-09-01 07:04:00,1711
2014-09-01 07:06:00,2612
2014-09-01 07:08:00,2113
2014-09-01 07:10:00,2215
2014-09-01 07:12:00,2114
2014-09-01 07:14:00,2621
2014-09-01 07:16:00,2411
2014-09-01 07:18:00,2112
2014-09-01 07:20:00,2921
2014-09-01 07:22:00,2217
2014-09-01 07:24:00,2111
2014-09-01 07:26:00,3420
2014-09-01 07:28:00,2016
2014-09-01 07:30:00,3627
2014-09-01 07:32:00,2217
2014-09-01 07:34:00,3020
2014-09-01 07:36:00,2520
2014-09-01 07:38:00,2116
2014-09-01 07:40:00,2419
2014-09-01 07:42:00,2920
2014-09-01 07:44:00,2318
2014-09-01 07:46:00,1611
2014-09-01 07:48:00,2118
2014-09-01 07:50:00,2418
2014-09-01 07:52:00,2928
2014-09-01 07:54:00,1916
2014-09-01 07:56:00,2421
2014-09-01 07:58:00,1915
2014-09-01 08:00:00,2621
2014-09-01 08:02:00,2318
2014-09-01 08:04:00,2014
2014-09-01 08:06:00,2822
2014-09-01 08:08:00,2515
2014-09-01 08:10:00,3026
2014-09-01 08:12:00,2618
2014-09-01 08:14:00,1914
2014-09-01 08:16:00,2721
2014-09-01 08:18:00,1815
2014-09-01 08:20:00,4236
2014-09-01 08:22:00,2924
2014-09-01 08:24:00,3319
2014-09-01 08:26:00,3126
2014-09-01 08:28:00,2921
2014-09-01 08:30:00,3022
2014-09-01 08:32:00,3327
2014-09-01 08:34:00,2520
2014-09-01 08:36:00,3732
2014-09-01 08:38:00,2922
2014-09-01 08:40:00,3627
2014-09-01 08:42:00,3925
2014-09-01 08:44:00,3120
2014-09-01 08:46:00,3020
2014-09-01 08:48:00,3126
2014-09-01 08:50:00,3027
2014-09-01 08:52:00,2522
2014-09-01 08:54:00,3329
2014-09-01 08:56:00,2723
2014-09-01 08:58:00,3824
2014-09-01 09:00:00,3622
2014-09-01 09:02:00,4128
2014-09-01 09:04:00,4431
2014-09-01 09:06:00,3121
2014-09-01 09:08:00,3325
2014-09-01 09:10:00,3022
2014-09-01 09:12:00,2818
2014-09-01 09:14:00,5544
2014-09-01 09:16:00,3928
2014-09-01 09:18:00,4327
2014-09-01 09:20:00,3828
2014-09-01 09:22:00,3928
2014-09-01 09:24:00,4739
2014-09-01 09:26:00,5137
2014-09-01 09:28:00,3229
2014-09-01 09:30:00,4936
2014-09-01 09:32:00,4631
2014-09-01 09:34:00,3728
2014-09-01 09:36:00,4137
2014-09-01 09:38:00,3122
2014-09-01 09:40:00,3331
2014-09-01 09:42:00,3426
2014-09-01 09:44:00,4838
2014-09-01 09:46:00,2720
2014-09-01 09:48:00,3932
2014-09-01 09:50:00,4331
2014-09-01 09:52:00,5848
2014-09-01 09:54:00,4238
2014-09-01 09:56:00,3528
2014-09-01 09:58:00,3629
2014-09-01 10:00:00,4236
2014-09-01 10:02:00,4739
2014-09-01 10:04:00,3626
2014-09-01 10:06:00,4232
2014-09-01 10:08:00,5245
2014-09-01 10:10:00,4937
2014-09-01 10:12:00,4126
2014-09-01 10:14:00,4840
2014-09-01 10:16:00,5742
2014-09-01 10:18:00,3221
2014-09-01 10:20:00,5347
2014-09-01 10:22:00,4334
2014-09-01 10:24:00,4226
2014-09-01 10:26:00,5044
2014-09-01 10:28:00,5439
2014-09-01 10:30:00,4337
2014-09-01 10:32:00,5649
2014-09-01 10:34:00,2922
2014-09-01 10:36:00,5448
2014-09-01 10:38:00,5541
2014-09-01 10:40:00,4033
2014-09-01 10:42:00,5440
2014-09-01 10:44:00,5946
2014-09-01 10:46:00,5941
2014-09-01 10:48:00,4638
2014-09-01 10:50:00,4437
2014-09-01 10:52:00,4636
2014-09-01 10:54:00,5243
2014-09-01 10:56:00,5340
2014-09-01 10:58:00,5233
2014-09-01 11:00:00,4638
2014-09-01 11:02:00,5540
2014-09-01 11:04:00,7154
2014-09-01 11:06:00,4741
2014-09-01 11:08:00,5545
2014-09-01 11:10:00,4531
2014-09-01 11:12:00,3324
2014-09-01 11:14:00,6755
2014-09-01 11:16:00,5543
2014-09-01 11:18:00,6343
2014-09-01 11:20:00,6151
2014-09-01 11:22:00,6652
2014-09-01 11:24:00,7664
2014-09-01 11:26:00,7054
2014-09-01 11:28:00,6353
